FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1
751,570,6,Northern Kentucky ADD,IP20130029,,Improve safety and mobility on US 42 from the Carroll County line to KY 1039.,Minor Widening,Modernize Roadway-Rural,1,Gallatin,039-US-0042  -000,0,3.325,Existing,5.159143447,570
576,571,6,Northern Kentucky ADD,IP20130081,,Improve existing grade separated railroad crossing over KY 467 to correct geometric deficiencies and raise road out of flood plain.,Safety-Haz-Elm,Modernize Roadway-Rural,1,Gallatin,039-KY-0467  -000,3.3,3.7,Existing,0,571
446,572,6,Northern Kentucky ADD,IP20130082,Jun-79,"IMPROVE SAFETY, MOBILITY, OPERATIONS, AND GEOMETRICS AT THE JUNCTION OF I-75 AND I-275 AND THE SYSTEM-TO-SYSTEM RAMPS.",CONGESTION MITIGTN(O),Innovative Interchange,1,Boone,008-I-0075  -000,182.2,183.312,Existing,0,0
757,573,6,Northern Kentucky ADD,IP20130083,,Improve safety and mobility on US 27 at the KY 17 intersection.,Spot Improvement,Improve Intersection,1,Pendleton,096-US-0027  -000,11.6,12,Existing,6.429556992,573
588,574,6,Northern Kentucky ADD,IP20130086,,Improve safety and mobility on US 27 at the KY 22 intersection.,Spot Improvement,Improve Intersection,1,Pendleton,096-US-0027  -000,10,10.4,Existing,4.587879446,574
591,575,6,Northern Kentucky ADD,IP20140017,Jun-51,"IMPROVE EXISTING ALIGNMENT WITH BUTTERMILK PIKE, ORPHANAGE ROAD, AND US 25. FT. MITCHELL WILL PAY $50,000 TOWARD DESIGN. (16CCN)(18CCN)",RECONSTRUCTION(O),Realign Intersection,1,Kenton,059-KY-0371  -000,1.6,1.817,Existing,-2.336593172,575
737,576,6,Northern Kentucky ADD,IP20150017,9-Jun,"IMPROVE SAFETY, CONGESTION, AND PEDESTRIAN AND FREIGHT MOBILITY ON US 42 IN WARSAW FROM DAVIS DRIVE TO 0.4 MILES EAST OF DORMAN DRIVE. MP 7.281-7.8. (16CCN)",SAFETY(P),Improve Intersection,1,Gallatin,039-US-0042  -000,7.281,8.066,Existing,-1.093871449,576
483,577,6,Northern Kentucky ADD,IP20150133,Jun-51,INCREASE SAFETY & OPERATIONS AT THE INTERSECTION OF KY 842 (RICHARDSON RD.) AND US 25 (DIXIE HIGHWAY) FROM JUST W OF US 25 TO BOONE CO. LINE AND INCLUDES MULTI-MODES;  (14CCN),SAFETY(P),Improve Intersection,1,Boone,008-KY-0842  -000,0,0.34,Existing,2.065800592,577
636,578,6,Buffalo Trace ADD,IP20150175,11-Jun,IMPROVE CURVE ON KY 616 AND IMPROVE ROADWAY FROM THE NEW ROBERTSON COUNTY SCHOOL TO MT OLIVET. (12CCN)(14CCR)(18CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Robertson,101-KY-0616  -000,6.3,6.514,Existing,0.148802814,578
719,579,6,Bluegrass ADD,IP20150204,8-Jun,"RECONSTRUCT US 27 FROM MP 11.9 TO MP 12.4.
(12CCN)(14CCR)(18CCN)",RECONSTRUCTION(O),Modernize Roadway-Rural,1,Harrison,049-US-0027  -000,12.9,13.4,Existing,-0.21492752,579
521,580,6,Northern Kentucky ADD,IP20150244,6-162.10,IMPROVE SAFETY AND REDUCE CONGESTION ON KY-1303 FROM KY-536 TO BEECHGROVE ELEMENTARY (PRIORITY SECTION 4).  DESIGN PHASE UNDER PARENT NO. 6-162.01.  (2012BOP)(16CCR)(18CCR),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Kenton,059-KY-1303  -000,0,1.1,Existing,5.999912017,580
435,581,6,Northern Kentucky ADD,IP20150257,6-447,IMPROVE MOBILITY AND REDUCE CONGESTION ON US-25 FROM WINNING COLORS DRIVE TO THE NORFOLK SOUTHERN RAILROAD CROSSING SOUTH OF KY-1829 (INDUSTRIAL ROAD); EXCLUDES GRADE SEPARATION AT KY-536.,MAJOR WIDENING(O),Modernize Roadway-Rural,1,Boone,008-US-0025  -000,5.085,9.2,Existing,145.8066141,581
469,582,6,Northern Kentucky ADD,IP20150268,2-Jun,WIDEN KY 22 FROM INTERSECTION WITH KY 845 TO THE OWEN/GRANT COUNTY LINE.(12CCN)(14CCR)(16CCR),MAJOR WIDENING(O),Modernize Roadway-Rural,1,Owen,094-KY-0022  -000,16.057,18.56,Existing,0.086971535,582
602,583,6,Northern Kentucky ADD,IP20150287,6-162.30,IMPROVE SAFETY AND REDUCE CONGESTION ON KY-536 FROM KY 1303 TO WILLIAMSWOOD ROAD/CALVARY DRIVE (PRIORITY SECTION 2). DESIGN PHASE UNDER PARENT NO. 6-162.01. (2012BOP)(18CCN),AIR QUALITY(P),Arterial to Partial Control,1,Kenton,059-KY-0536  -000,1.061,2.542,Existing,-9.274340056,583
797,584,6,Northern Kentucky ADD,IP20150312,6-162.40,IMPROVE SAFETY AND REDUCE CONGESTION ON KY-536 FROM WILLIAMSWOOD ROAD/CALVARY DRIVE TO KY-17 (PRIORITY SECTION 3). DESIGN PHASE UNDER PARENT NO. 6-162.01. (2012BOP)(18CCR),RECONSTRUCTION(O),Arterial to Partial Control,1,Kenton,059-KY-0536  -000,2.542,4.062,Existing,17.94444879,584
825,585,6,Bluegrass ADD,IP20150341,Jun-00,CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN),BYPASS(O),Construct Road in New Location,1,Harrison,049-PF-9999  -000,0,0,Proposed,0,0
659,586,6,Bluegrass ADD,IP20150341,Jun-00,CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN),BYPASS(O),Construct Road in New Location,2,Harrison,049-US-0062  -000,9.1,10.259,Impacted,-26.30573313,586
