Join_Count,TARGET_FID,JOIN_FID,OBJECTID,RT_UNIQUE,BEGIN_MP,END_MP,EEC,Roadway,ProjectNo,Routeuniqu,BEGINNINGMILE,ENDINGMILE
1,410,783,1469110,104-US-0127  -000,16.3449765,16.4369765,8.437943148,R2L,682,104-US-0127  -000,14.142,18.195
1,412,891,325009,026-US-0421  -000,16.036,16.122,5.991952363,R2L,879,026-US-0421  -000,15.5,17
1,417,517,1437005,102-KY-0461  -000,7.8169765,8.0539765,8.045928262,R2L,710,102-KY-0461  -000,7,9.404
1,426,933,140660,013-KY-0015  -000,17.4649765,17.564,17.6658982,R2L,851,013-KY-0015  -000,16.75,17.9
1,428,2,558428,043-US-0062  -000,20.042,20.197,7.685570305,R2L,373,043-US-0062  -000,19.85,21.005
1,434,501,3777,001-KY-0055  -000,1.033,1.135,16.62858193,R2L,679,001-KY-0055  -000,0,10.059
1,435,639,1488434,106-KY-0055  -000,0.13,0.16,8.55584783,R2L,422,106-KY-0055  -000,0,1.354
1,438,710,103133,009-US-0460  -000,7.6839765,7.6959765,6.550167455,R2L,653,009-US-0460  -000,1.394,7.696
1,440,639,1488435,106-KY-0055  -000,0,0.13,23.46076575,R2L,422,106-KY-0055  -000,0,1.354
1,441,645,577315,045-KY-0007  -000,20.017,20.0519765,9.047307638,R2L,789,045-KY-0007  -000,13.03,20.052
1,451,232,1149250,078-US-0068  -000,9.1839765,9.325,18.41409029,R2L,371,078-US-0068  -000,0,9.364
1,454,726,520701,041-KY-0022  -000,6.337,6.577,12.73358288,R2L,558,041-KY-0022  -000,0.63,6.671
1,466,2,558223,043-US-0062  -000,19.8169765,20,9.857713904,R2L,373,043-US-0062  -000,19.85,21.005
1,466,182,558223,043-US-0062  -000,19.8169765,20,9.857713904,R2L,392,043-US-0062  -000,17.909,19.85
1,468,933,140651,013-KY-0015  -000,16.864,16.923,7.327465709,R2L,851,013-KY-0015  -000,16.75,17.9
1,486,142,1266845,089-US-0431  -000,3.45,3.585,11.58204025,R2L,191,089-US-0431  -000,3.4,3.7
1,488,353,183180,016-KY-0185  -000,3.52,3.758,8.936303882,R2L,275,016-KY-0185  -000,3,4.8
1,491,789,328152,027-KY-0558  -000,2.616,2.677,4.557000032,R2L,706,027-KY-0558  -000,1.129,7.729
1,495,708,1118441,076-KY-0052  -000,5.704,5.933,3.892992651,R2L,667,076-KY-0052  -000,5.3,7
1,506,820,514084,040-KY-0052  -000,0.907,1.003,4.39231432,R2L,630,040-KY-0052  -000,0,1.53
1,510,111,181958,016-KY-0070  -000,13.0059765,13.0309765,4.186650907,R2L,204,016-KY-0070  -000,12.83,14.419
1,511,928,1391449,099-KY-0011  -000,15.2839765,15.4049765,3.521949337,R2L,831,099-KY-0011  -000,14,16.7
1,514,609,276191,023-US-0127  -000,18.843,18.9269765,4.470107096,R2L,717,023-US-0127  -000,18.746,19.046
1,516,129,43471,005-KY-0090  -000,0.8379765,0.9769765,5.797100574,R2L,199,005-KY-0090  -000,0.16,1.4
1,517,597,28935,003-US-0062  -000,22.773,22.796,4.770133562,R2L,631,003-US-0062  -000,20.54,22.813
1,519,127,684372,052-KY-0146  -000,4.183,4.32,3.568916226,R2L,394,052-KY-0146  -000,2.169,6.8
1,520,203,811285,056-KY-0155  -000,5.6739765,5.69,5.216650524,R2L,400,056-KY-0155  -000,4.4,5.75
1,537,517,1437088,102-KY-0461  -000,8.0919765,8.1629765,4.409326812,R2L,710,102-KY-0461  -000,7,9.404
1,538,449,656031,049-US-0062  -000,10.31,10.556,5.656583859,R2L,566,049-US-0062  -000,10.259,11.7
1,540,87,182298,016-KY-0079  -000,18.696,18.754,3.791253806,R2L,228,016-KY-0079  -000,12.538,24.901
1,544,451,848594,057-KY-0169  -000,15.261,15.469,4.112398406,R2L,615,057-KY-0169  -000,14.448,19
1,549,4,1291476,092-KY-0054  -000,7.786,7.8259765,4.396557597,R2L,178,092-KY-0054  -000,7.047,7.995
1,556,542,1644042,120-KY-0033  -000,7.9729765,8.183,4.491977525,R2L,659,120-KY-0033  -000,3.04,10.65
1,568,492,55373,006-KY-0036  -000,18.446,18.684,3.627860538,R2L,822,006-KY-0036  -000,18.6,18.9
1,570,5,376986,031-KY-0259  -000,11.785,12.108,4.356165635,R2L,257,031-KY-0259  -000,12.096,16.204
1,570,279,376986,031-KY-0259  -000,11.785,12.108,4.356165635,R2L,255,031-KY-0259  -000,11.676,12.096
1,573,684,1469388,104-US-0127  -000,19.047,19.086,4.017352319,R2L,683,104-US-0127  -000,17.872,19.086
1,574,501,3602,001-KY-0055  -000,0.67,0.726,5.11347292,R2L,679,001-KY-0055  -000,0,10.059
1,583,292,18974,002-KY-0101  -000,10.65,10.87,4.525884122,R2L,235,002-KY-0101  -000,5.862,13.347
1,585,641,103185,009-US-0460  -000,0,0.12,5.867790136,R2L,610,009-US-0460  -000,0,1.394
1,590,910,976636,065-KY-0011  -000,4.1049765,4.1149765,4.303912554,R2L,844,065-KY-0011  -000,1.082,4.798
1,592,248,1581037,115-KY-0055  -000,4.2,4.362,5.03172321,R2L,391,115-KY-0055  -000,0,4.551
1,598,127,684405,052-KY-0146  -000,3.42,3.45,3.871729998,R2L,394,052-KY-0146  -000,2.169,6.8
1,602,589,518183,040-US-0027  -000,0,0.1379765,4.607122757,R2L,649,040-US-0027  -000,0,1
1,603,172,1282798,090-US-0150  -000,3.8289765,3.8589765,5.009166773,R2L,327,090-US-0150  -000,1.952,7.653
1,616,688,392550,033-KY-0082  -000,1.02,1.093,5.706539652,R2L,829,033-KY-0082  -000,0,4.1
1,653,564,382597,032-KY-0007  -000,6.85,6.9369765,4.452932924,R2L,806,032-KY-0007  -000,0,6.956
